,Borough,Neighborhood,Latitude,Longitude
33,Brooklyn,Bath Beach,40.5995187,-73.99875221
0,Brooklyn,Bay Ridge,40.62580107,-74.03062069
17,Brooklyn,Bedford,40.68723161,-73.94178489
1,Brooklyn,Bensonhurst,40.6110089,-73.99517998
45,Brooklyn,Bergen Beach,40.61514955,-73.89855634
41,Brooklyn,Boerum Hill,40.68568291,-73.98374824
34,Brooklyn,Borough Park,40.63313051,-73.99049823
5,Brooklyn,Brighton Beach,40.57682507,-73.96509449
64,Brooklyn,Broadway Junction,40.67786105,-73.90331685
18,Brooklyn,Brooklyn Heights-Cobble Hill,40.69586372,-73.99378225
14,Brooklyn,Brownsville,40.66394994,-73.91023536
16,Brooklyn,Bushwick,40.69811611,-73.92525797
28,Brooklyn,Canarsie,40.63556433,-73.9020927
20,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,40.68054023,-73.99465373
44,Brooklyn,City Line,40.67856996,-73.86797598
38,Brooklyn,Clinton Hill,40.69322942,-73.96784306
19,Brooklyn,Cobble Hill,40.68791972,-73.99856139
32,Brooklyn,Coney Island,40.57429256,-73.98868296
9,Brooklyn,Crown Heights,40.67082918,-73.94329119
25,Brooklyn,Cypress Hills,40.68239101,-73.87661596
54,Brooklyn,Ditmas Park,40.64367518,-73.96101312
40,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.69084402,-73.98346337
65,Brooklyn,Dumbo,40.70317633,-73.98875281
35,Brooklyn,Dyker Heights,40.61921946,-74.01931376
10,Brooklyn,East Flatbush-Farragut,40.64171777,-73.93610256
26,Brooklyn,East New York,40.6699257,-73.88069864
49,Brooklyn,East Williamsburg,40.70849241,-73.93885815
69,Brooklyn,Erasmus,40.64692607,-73.9481771
8,Brooklyn,Flatbush,40.63632589,-73.95840107
29,Brooklyn,Flatlands,40.63044604,-73.92911303
23,Brooklyn,Fort Greene,40.68852726,-73.97290574
53,Brooklyn,Fort Hamilton,40.61476813,-74.03197915
61,Brooklyn,Fulton Ferry,40.70328109,-73.99550752
48,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,40.62384524,-73.91607484
36,Brooklyn,Gerritsen Beach,40.59084843,-73.93010171
22,Brooklyn,Gowanus,40.67393114,-73.99444087
4,Brooklyn,Gravesend,40.59526001,-73.97347088
3,Brooklyn,Greenpoint,40.73020098,-73.95424093
67,Brooklyn,Highland Park,40.68199893,-73.89034571
66,Brooklyn,Homecrest,40.5985251,-73.95918459
11,Brooklyn,Kensington-Ocean Parkway,40.64238196,-73.98042111
68,Brooklyn,Madison,40.6093777,-73.94841515
31,Brooklyn,Manhattan Beach,40.5779135,-73.94353723
7,Brooklyn,Manhattan Terrace,40.61443251,-73.95743841
37,Brooklyn,Marine Park,40.60974778,-73.93134404
46,Brooklyn,Midwood,40.6255959,-73.95759523
60,Brooklyn,Mill Basin,40.61597424,-73.91515392
30,Brooklyn,Mill Island,40.60633642,-73.90818572
58,Brooklyn,New Lots,40.66274428,-73.88511776
50,Brooklyn,North Side,40.71482291,-73.95880858
43,Brooklyn,Ocean Hill,40.67840255,-73.91306832
52,Brooklyn,Ocean Parkway,40.61305977,-73.96836678
59,Brooklyn,Paerdegat Basin,40.63131755,-73.90233474
24,Brooklyn,Park Slope-Gowanus,40.67232052,-73.9770503
13,Brooklyn,Prospect Heights,40.67682226,-73.96485924
42,Brooklyn,Prospect Lefferts Gardens-Wingate,40.65842002,-73.95489867
47,Brooklyn,Prospect Park South,40.6470086,-73.96261317
21,Brooklyn,Red Hook,40.67625323,-74.01275897
57,Brooklyn,Remsen Village,40.65211745,-73.91665332
56,Brooklyn,Rugby,40.65557231,-73.92688213
39,Brooklyn,Sea Gate,40.57637538,-74.00787311
6,Brooklyn,Sheepshead Bay,40.58689013,-73.9431864
51,Brooklyn,South Side,40.71086147,-73.95800095
27,Brooklyn,Starrett City,40.64758905,-73.8793697
2,Brooklyn,Sunset Park,40.64510295,-74.01031619
62,Brooklyn,Vinegar Hill,40.7033215,-73.98111604
63,Brooklyn,Weeksville,40.67503987,-73.93053109
15,Brooklyn,Williamsburg,40.70714439,-73.95811529
12,Brooklyn,Windsor Terrace,40.65694584,-73.9800734
55,Brooklyn,Wingate,40.66094656,-73.93718681
